judul,abstrak,tahun,id,abstract_clean,methods_extracted,title_clean,topic_label_id
Prediksi Cuaca Harian Menggunakan Metode Autoencoder pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode Autoencoder. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Autoencoder memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.",2023,10,penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode autoencoder. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode autoencoder memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.,,prediksi cuaca harian menggunakan metode autoencoder pada mahasiswa universitas halu oleo,0
Prediksi Cuaca Harian Menggunakan Metode Random Forest berbasis Android,"Penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode Random Forest. Studi kasus dilakukan berbasis Android. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.",2018,11,penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode random forest. studi kasus dilakukan berbasis android. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.,,prediksi cuaca harian menggunakan metode random forest berbasis android,0
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode ARIMA di Kota Kendari,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode ARIMA. Studi kasus dilakukan di Kota Kendari. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2021,12,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode arima. studi kasus dilakukan di kota kendari. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,,klasifikasi sampah organik anorganik menggunakan metode arima di kota kendari,0
Rekomendasi Judul Tugas Akhir Menggunakan Metode ARIMA pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode ARIMA. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2016,13,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode arima. studi kasus dilakukan pada dataset kesehatan nasional. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,,rekomendasi judul tugas akhir menggunakan metode arima pada dataset kesehatan nasional,2
Analisis Trafik Jaringan Menggunakan Metode Autoencoder menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode Autoencoder. Studi kasus dilakukan menggunakan Data BMKG. Metode Autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Autoencoder memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.",2022,14,penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode autoencoder. studi kasus dilakukan menggunakan data bmkg. metode autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode autoencoder memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.,,analisis trafik jaringan menggunakan metode autoencoder menggunakan data bmkg,3
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode SVM pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode SVM. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2021,15,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode svm. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,svm,klasifikasi sampah organik anorganik menggunakan metode svm pada mahasiswa universitas halu oleo,0
Prediksi Cuaca Harian Menggunakan Metode Transformer menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode Transformer. Studi kasus dilakukan menggunakan Data BMKG. Metode Transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Transformer memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.",2020,16,penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode transformer. studi kasus dilakukan menggunakan data bmkg. metode transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode transformer memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.,transformer,prediksi cuaca harian menggunakan metode transformer menggunakan data bmkg,0
Clustering Persebaran UMKM Menggunakan Metode Decision Tree pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode Decision Tree. Studi kasus dilakukan pada UMKM lokal. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2019,17,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode decision tree. studi kasus dilakukan pada umkm lokal. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,,clustering persebaran umkm menggunakan metode decision tree pada umkm lokal,4
Rekomendasi Judul Tugas Akhir Menggunakan Metode BERT di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode BERT. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode BERT dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode BERT memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2021,18,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode bert. studi kasus dilakukan di kabupaten kolaka timur. metode bert dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode bert memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,,rekomendasi judul tugas akhir menggunakan metode bert di kabupaten kolaka timur,2
Prediksi Harga Tanaman Holtikultura Menggunakan Metode YOLOv8 berbasis Android,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode YOLOv8. Studi kasus dilakukan berbasis Android. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2016,19,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode yolov8. studi kasus dilakukan berbasis android. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,yolov8,prediksi harga tanaman holtikultura menggunakan metode yolov8 berbasis android,0
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode RNN di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode RNN. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2015,20,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode rnn. studi kasus dilakukan di kabupaten kolaka timur. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,rnn,klasifikasi sampah organik anorganik menggunakan metode rnn di kabupaten kolaka timur,0
Prediksi Harga Emas Menggunakan Metode ARIMA di Kota Kendari,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode ARIMA. Studi kasus dilakukan di Kota Kendari. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2022,21,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode arima. studi kasus dilakukan di kota kendari. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,,prediksi harga emas menggunakan metode arima di kota kendari,0
Rekomendasi Judul Tugas Akhir Menggunakan Metode Decision Tree pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode Decision Tree. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2016,22,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode decision tree. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,,rekomendasi judul tugas akhir menggunakan metode decision tree pada mahasiswa universitas halu oleo,2
Klasifikasi Jenis Daun Obat Menggunakan Metode Random Forest di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode Random Forest. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.",2015,23,penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode random forest. studi kasus dilakukan di lingkungan pemerintah daerah. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.,,klasifikasi jenis daun obat menggunakan metode random forest di lingkungan pemerintah daerah,0
Prediksi Harga Emas Menggunakan Metode DBSCAN di sektor pertanian,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode DBSCAN. Studi kasus dilakukan di sektor pertanian. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2018,24,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode dbscan. studi kasus dilakukan di sektor pertanian. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,,prediksi harga emas menggunakan metode dbscan di sektor pertanian,0
Deteksi Dini Penyakit Pada Sapi Menggunakan Metode Naive Bayes di Kota Kendari,"Penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode Naive Bayes. Studi kasus dilakukan di Kota Kendari. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.",2024,25,penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode naive bayes. studi kasus dilakukan di kota kendari. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.,naive bayes,deteksi dini penyakit pada sapi menggunakan metode naive bayes di kota kendari,0
